Date_of_Visit,District,Chiefdom,Section,Name_of_community,f_q1,f_q2,f_q3,f_q4,f_q5,f_q6
2015-03-20,Bo,,,Talahun,0.0,,No death,The people are diverting their attention from ebola and now finding ways and means to start life again,NJAGOR COMMUNITY; Is the government going to take care of children that are attending community schools?,
2015-03-04,Bo,,,Buma ,0.0,,No death,The community have takrn the lead to stop ebola,The two communitise I visited this week were more concern about ebola burial team method of conducting burial ezercise,
2015-03-05,Bo,,,Macca,0.0,,No death,Open participatory in ebola transmittion talk/discussion during my fellow up visit,Chief Juana from Buma community said why is the government authorities are still holding bye-laws on those community that they know there is no ebola case since,
2015-03-06,Bo,,,Levuma[2],0.0,,No death,Frequent environmental cleaning,Bobor Kemokai from Levuma[2] community says that the chorine in water is too high for washing hands,
2015-03-07,Bo,,,Ndowoma,0.0,,No death,Frequent environmental cleaning,The rising and falling of the ebola cases reported is another concern to us in this community,
2015-02-24,Bo,,,Bumboh,0.0,,No death,Using local material for hand washing like black soap and lime,The reopening of schools is a concern to every body in this community,
2015-02-25,Bo,,,Bumboh,0.0,,No death,The people acceptance of ebola and willingness to erdicate it,What has the government put in place for the school going children expecially the girls who are getting pregnat,
2015-02-26,Bo,,,Bumboh,0.0,,No death,The people are willing to fight ebola to go out of this country,What mension has the government put inorder for the children not to spread the ebola virus,
2015-02-27,Bo,,,Bumboh,0.0,,No death,The community is willing to fight ebola to the end,The people want to know when will school reopenen,
2015-04-02,Bo,,,Fewanaema,0.0,,No death,The people are willing to fight ebola to go out of this country,FEWANEMA;Government to stregthen the health sectors in the community through the construction of community post in the chiefdom,
2015-04-03,Bo,,,Balahun,0.0,,No death,"No illness and death since our last visit, the community is very healthy and with clean enviroment  due to the ongoing sensitization activies",BALLAHUNhe ;  The people kindly asked the government to exdend the 90days period of the non-sexual intercourse of survivors of ebola to sixmonths  with the provision of a comfortable accomodation and medical attention to end the spread of new trasmission case,
2015-04-04,Bo,,,Njabwema,0.0,,No death,The community youths now take the lead to enforce the bye laws and ensure weekly cleaning activities in the town ,"NJAGBWEMA; The people in quaratine homes in affected communities must be properly mometor ,Given the basic ebola messages and given regular treament to mimizers the risk of spread",
2015-04-05,Bo,,,Nyagoihun Vakie,0.0,,No death,The community members now voluneeting to practise regular hand washing and effective enviromental sanitation,NYAGOIHUN VAKIE; People are pleading to Restless development and the government to reinstitute the facilitaion of sexual reproductive health lesson and ebola safty precausion in both primary and secondary schools,
2015-04-01,Bo,,,Madinawo,0.0,,No death,The people now report all illness and death to the health workers including pregnate cases and even lactatin mothers,Government to provide  scholaship for our children,
2015-04-02,Bo,,,Galahun,0.0,,No death,The community now believe in the EVD and it reality,"MADINAWO; One of the eleders expressed that their gils are becoming pregnat every day since the outbreak of ebola,therefore let schools reopened",
2015-04-03,Bo,,,Yengemawo,0.0,,No death,The people now ahear to the bye-laws all other perventive method concening ebola ,GALAHUN;When will school reopened? We are hearing of a vaccine for ebola where is it?,
2015-04-04,Bo,,,Juuhun,0.0,,No death,The community now report all sick cases to the health workers,"YENGEMAWO;According to the ministry of education school were to re-opened this month,but we are not seeing any progress ",
2015-04-01,Bo,,,Gendema,0.0,,No because they do not respect our loves one,The people now fully awera of ebola and its reality,JUUHUN;We are sick and tired of ebola and therefore they are ready to undergo any measures put forward by the ministry of health,
2015-04-02,Bo,,,Kowama,0.0,,No because they donot allowed us to burie our loves one,The people fully know now that ebola is real and therefore they are taken the bye-laws serious to avoid the spread of ebola,,
2015-04-03,Bo,,,Tokpotorbu,0.0,,No because ebola or no ebola they burial is the same,Working with the community bye-laws,When will ebola finally going to edn?[BUMA],
2015-04-04,Bo,,,Njihun,1.0,"yes, because they allowed the community to withness the process",,No ebola case,If there is any health security for their children who are taking the B.E.C.E,
2015-04-02,Bo,,,Gondama,1.0,the community people are veryhappy,,we are really happy about the death rate ,"we don't have food and monry to buy medicine and our girl child are getting pregnant,what will the government do for the pregnant children",
2015-04-03,Bo,,,Baiyama,1.0,the community people are veryhappy,,since the start of ebola thecommunity have not had any case ,the government should help us in agriculture and should provide rice for farming ,
2015-04-04,Bo,,,Ranimea,1.0,the community people are veryhappy,,they are greatful to government for bringing medical physicians to reduce the death rate,the virus has push our business backwards and we are calling on the government to help our girl cchild by providing good education,
2015-04-05,Bo,,,Gboigbubu,1.0,the community people are veryhappy,,they are thankful to God for the reduction of the dead rate ,they should help those thatare vonulrableand provide food and vaccines for the children,
2015-02-24,Bo,,,Baomahun,1.0,the burial team handle the death with care and respect,,there is awareness among the community people on how to prevent ebola,the people want the government to create job opportunities for them after ebola,
2015-02-25,Bo,,,Baomahun,1.0,they allow the family member to pray on the dead,,the people are implementing the bye-laws positively,"the want the government to provide them with agricultural tools and equipment,when would they start eating bush meat ",
2015-02-26,Bo,,,Baomahun,0.0,the burial team do not have female among them,,the people are aware that by implementing the bye-laws positively sierra leoneans will end ebola,"they want government to quaratin district that still has ebola cases,is ebola a man made chemical weapon or a natural disease",
2015-02-27,Bo,,,Baomahun,1.0,the burial team now contact the burials peacefully and respectfully,,there is awareness that ebola is real and will one day end,,
2015-03-24,Bo,,,Sengema,0.0,no burial was done,,the people are abiding to the bye-laws relating to washing and burying of the dead and reporting the sick to the nearest health centers and no eating bush meat,,
2015-03-25,Bo,,,Pelewahun,0.0,no burial was done,,certain bye-laws in the community are effective whiles others are not,,
2015-03-27,Bo,,,Lungi,0.0,no burial was done,,they are still adhering to all the bye-laws except now they are accomodating strangers,,
2015-03-28,Bo,,,Bonda Yelihun,0.0,no burial was done,,community people are still abiding to all other bye-laws except that they accommodate strangers,,
2015-03-24,Bo,,,Motimo,0.0,,,Sanitation has highly improved as compared to previous times and the community are respecting the bye-laws,,
2015-03-26,Bo,,,Batiema,0.0,,,they have stop eating bush meat and are washing their hands with soap and water,,
2015-03-28,Bo,,,Bundbu,0.0,,,there are no community burials,,
2015-03-30,Bo,,,Molendeh,0.0,,,the laws are now fully respected and enforce by the community,,
2015-03-24,Bo,,,Kagbiama ,0.0,,,people are now confident to access the health center when ill,when will school re-open,
2015-03-27,Bo,,,Kpetewoma 1,0.0,,,people have engage in active  community hygiene ,what has the government plan to do for those people who have survived ebola,
2015-03-28,Bo,,,Kamalu,0.0,,,they do not hide the sick any more ,due to no schooling teenage pregnancy has become the order of the day,
2015-03-29,Bo,,,Mbawomahun,0.0,,,they are no longer in fear of the health centers,when will ebola end in sierra leone,
2015-03-24,Bo,,,Ngiiya Friee,0.0,,,community members including pregnant and lactating women now visit the health facility to report any illness and there is healthy hygiene practices which include washing of hands,government should improve all health core units through the provision of essential drugs and ensure the effective monitoring of the free health car services ,
2015-03-25,Bo,,,Salina,0.0,,,since the outbreak they have not record any sick or dead cases and our sensitization have greatly influence them to respect the bye-laws and maintain a positive behaviour and healthy life style,government should ensure that all survivors are provided with adequate accomodation for the three months period so that the risk of spreading the disease through unprotected sexual intercourse other unlawful practices are minimized,
2015-03-27,Bo,,,Bajao,0.0,,,no illness or death has occur since our last visit and there have been active hygiene and sanitation practise and the people are practising regular washing of hands after using the toilet and engaging in personal activities,they should give special care and support to vulnorable communities already affected by the virusthrough psychosocial support program,
2015-03-28,Bo,,,Nguabu,0.0,,,the members are united and are positively recognising the byelaws and also promote hygiene and sanitation ,the should strengthen the education sectors inrural communities by rehabilitating schools and repair furniture and also ensure that the recruitment of teachers of teachers are given the utmost attention,
2015-03-26,Bo,,,Lombokoh,1.0,no burial since our last visit but the community is satisfied with the last burial procedure,,due to the massive sensitization given by the community mobilisers and supported by the community champion they are now visiting health centers to explain their problems,,
2015-03-27,Bo,,,Mondokoh,1.0,no burial since our last visit  ,,80% of the bye-laws are still maintained,,
2015-03-28,Bo,,,Semabu,0.0,,,they still maintain all the bye-laws and they have started performing funeral ceremony,,
2015-03-29,Bo,,,Juhun,0.0,,,people are now visiting health centers to explain their problems,,
2015-03-26,Bo,,,Gboyama,1.0,they are please with the state burial,,the community have been kept clean through the help of the community champions,"the high rate of teenage pregnancy due to the ebola outbreak,when will ebola end",
2015-03-27,Bo,,,Njala,1.0,procedures conducted by the burial team,,the community champion have sensitize and re-enforce these bye-laws in their community,"the rsie and fall in ebola cases reported instill fear in the community people,have ebola got any vacines ",
2015-03-28,Bo,,,Dia I  ,1.0,,,the community champion have been re-enforcing the three days seat at home policy to the community people,"the unplanned date,days and scheduled for lock down or seating home is a corcen,after the lock down will ebola end ",
2015-03-29,Bo,,,Dia Ii,1.0,,,the community champion along side the tax team have been sensitizing the community on how to use the soap,,
2015-04-01,Bo,,,Gbojeima,1.0,the body is been buried with some amount of care and dignity,,the action plan and bye-laws are been implemented amicably,,
2015-04-02,Bo,,,Kpakibu,1.0,religious rites are been observed,,the members ar abiding by the action plan,is it advicable to eat bush meat since the mainfocus is on washing dead bodies,
2015-04-03,Bo,,,Foya,1.0,every bit of the process is transparent,,the action plan and bye-laws are been implemented positively ,when will sirra leone be free from ebola,
2015-04-04,Bo,,,Benduma,0.0,excess spray of chlorine,,the action plan and bye-laws are been implemented positively ,will there be another stay at home,
2015-04-01,Bo,,,Ngogobu,1.0,they practise safe anddignified burials,,they are taking the lead in the ebola fight,when will ebola end and school re-open,
2015-04-02,Bo,,,Koivama Old,1.0,they practise safe anddignified burials,,the sick now visit the hospital regularly,when will ebola end and school re-open,
2015-04-03,Bo,,,Koivama New,1.0,they practise safe anddignified burials,,Awareness of the ebola precautions,when will ebola end and school re-open,
2015-04-04,Bo,,,Nelebu,1.0,they practise safe anddignified burials,,the community members are ready to end the ebola fight,when will ebola end and school re-open,
2015-04-01,Bo,,,Kassima,0.0,No death occurred,,no secret burial and public gathering ,will there be another stay at home because we heard it on the radio,
2015-04-02,Bo,,,Kpetema,0.0,No death occurred,,there are no secret societies and disco jam splash,we hope that the three days seat at home will end the ebola virus,
2015-04-03,Bo,,,Tominya ,0.0,No death occurred,,no secret meetings and hunting,why do other sickness have no dates of it extinction but ebola has,
2015-04-04,Bo,,,Pujehun,0.0,No death occurred,,No games and isolation of the sick,how will ebola end when some areas in the North and western area are not abiding to the bye laws,
2015-04-01,Bo,,,Njagbakahun,1.0,they are happy and pleased with the standard protocols laid down by the burial team ,,the members have been re-enforcing these bye-laws to the community people on behalf of S.M.A.C,"no public gathering,have ebola any vaccines",
2015-04-02,Bo,,,Mende,1.0,they are happy and pleased with the standard protocols laid down by the burial team ,,they have increase on the number of chlorine buckets,"the rapid increase of teenage pregnancy due to ebola,when will ebola end",
2015-04-03,Bo,,,Gboyama,1.0,they are happy and pleased with the standard protocols laid down by the burial team ,,the contact tracers along side the tax-force team have been working pro-actively in their community to prevent ebola,"the rise and fall in the numbers of ebola cases,have government or NGO got any plans for teenage girls that are pregnant due to the outbreak",
2015-04-01,Bo,,,Folla,1.0,to reduce the spread of ebola,,people who feel sick report themselves to the health center ,the people want to start their normal activities such as eating bush meat and going to dances,
2015-04-02,Bo,,,Kortulab,1.0,to help eradicate ebola in sierra leone,,there are no sick person and deaths found in the community,"why should they not eat bush meat,they believe that ebola do not come into the country through bueh meat",
2015-04-03,Bo,,,Ama Tissana,1.0,to stop the spread of ebola,,there are no sick person and deaths found in the community,"they are tired of seating home,some want to start their business",
2015-04-04,Bo,,,Miniwa,1.0,to reduce the spread of ebola,,there are no sick person and deaths found in the community,"the people want to start their normal life,the state of emergency should stop now ",
2015-04-01,Bo,,,Kambawama,1.0,it prevent them from contacting the virus,,accepting the fact that ebola is real and preventing themselves from virius,to forget about ebola and continue their normal situation,
2015-04-02,Bo,,,Mendama,1.0,one way to eradicate the virus,,"changing their negative perception of ebola to positive one,visiting health centers  and making discussion on how to prevent the community from ebola",to forget about ebola and continue their normal situation,
2015-04-03,Bo,,,Konia,1.0,it help them to keep the bye-laws and action points ongoing,,visiting health centers and implementing the bye-laws/action plans,to forget about ebola and continue their normal situation,
2015-03-18,Bo,,,Manghere,1.0,this is the most important way to fight the ebola virus,,they are aware of the virus  and are taking great care of themselves,they want the government to quarantin area that have ebola cases and when will they start eating bush meat,
2015-03-19,Bo,,,Lamabu,1.0,the burial team allow them to witness the way they dress the dead,,they have the awareness of how to prevent themselves from this deadly virus,when will school open because they are tired of seeing their children at home and what will the government do for children who have lost their parents ,
2015-03-20,Bo,,,Kpetema,1.0,they allow them to pay their last respect to their love one,,they work according to the bye-laws,since the government has decided to open school and we are not being declear ebola free how will they care for the young school children ,
2015-03-24,Bo,,,Fanima,1.0,,,,,
2015-03-27,Bo,,,Layiahun,1.0,,,,,
2015-03-28,Bo,,,Foyama,1.0,,,,,
2015-03-29,Bo,,,Pelewahun,1.0,,,,,
2015-03-05,Bo,,,Tinkoko,0.0,it was so sympathetic and fearful and no prayers were allowed,,frequent visit of the members to the health centers and house to house search for the sick and refer them to the health center,why has ebola taken long in the country ,
2015-03-06,Bo,,,Lungi Ii,0.0,,,mounting of check points with wash hand bucket for washing of hands,why do the government allow the ebola virus to spread through out the country,
2015-03-07,Bo,,,Njoporwahun,0.0,,,mounting of check points with wash hand bucket for washing of hands,when will sierra leone be free from ebola and we want our children to go back to school,
2015-03-05,Bo,,,Gbagbakya,0.0,No burial conducted  in the  community,,availability of veronica bucket for washing of hands,the government of sierra leone should try and stop the sickness and why do members in the government a lover of money more than the life of the people,
2015-03-06,Bo,,,Basara,0.0,No burial conducted  in the  community,,strangers are not allowed with out pass to show that you are government worker,we praying so that God will help the health workers stop the ebola virus and why is it so difficult to find drugs for the virus,
2015-03-07,Bo,,,Kondeya,0.0,No burial conducted  in the  community,,they have check point which is supported by the paramount chief,we will work with the paramount chief to prevet our community from ebola and when will school open,
2015-03-09,Bo,,,Balobu,0.0,No burial conducted  in the  community,,there is no shaking of hands and the community is clean,we should pray and fast to stop this virus and why do the government stop people not to celebrates christmas last year in sierra leone,
2015-03-04,Bo,,,Songbo Ii,1.0,burials were done in the community and they say prayers on the dead,,people have started visiting the health center and the burial team were accepted by the community well as compare to the past,they need the worker to do sentisization to break the chain of fear between them.our people are not in the burial team,
2015-03-05,Bo,,,Senbehun,0.0,,,the people have started visiting health centers,there are no schools in their community and how will they protect their children from ebola,
2015-03-06,Bo,,,Sembehun Junction,0.0,,,the people have started visiting health centers,"there are lots of teenage pregnancy and will the government help their children to return to school,what will the government do for their farming ",
2015-03-07,Bo,,,Kangawo,1.0,burials were done in the community and they say prayers on the dead,,people have started visiting the health center and the burial team were accepted by the community well as compare to the past,they are in need of the health centeras the community is so far from the PHU and ebola has made their CHW to move from the community and they don't have another,
2015-03-31,Bo,,,Boboima,1.0,the burial team allowed religious leader to pray on the dead,,they promise to help end ebola in the country,how long will ebola last in sierra leone ,
2015-04-01,Bo,,,Jewoma,1.0,they give safe and dignify burial,,the people help to protect the community from ebola,what government has done to kick ebola out of sierra leone ,
2015-04-02,Bo,,,Baiwall,1.0,the family and religious leaders were allow to witness the burials,,the sick are attending health facility,when will school re-open and the public exams start,
2015-03-31,Bo,,,Folla,1.0,they allow the family member to witness and pray on the dead,,since December we have no confirm case and death,"we heard that school will open in April,is it true because we heard another news that it will open inseptember",
2015-04-01,Bo,,,Mano Wolo,1.0,they are allow to dig the graves,,people are allow to visit and even sleep in other communities,since the outbreak till now they are not happy what they use to do and get income from is closed and there is an increase in poverty,
2015-04-02,Bo,,,Seillu,1.0,they are allow to say prayers for the dead,,they are happy because the government said schools will open as soon as possible,"ebola is still in the country but the percentage of confirm case is low,lots of people died from ebola and the population have reduced.what plan has the government towards that",
2015-03-31,Bo,,,Leuuma,1.0,the burial team has reduce the death of people,,a team was set to check people that entered the community,why were they quarantined but not supplied,
2015-04-01,Bo,,,Seimbehun,1.0,they can now see their love ones dead body,,a team was set to do daily house check,will government supply the survivors for the rest of their life,
2015-04-02,Bo,,,Dormolar,1.0,they can now pray on their love ones,,they have set task force to enforce the bye-laws,the government have placed thermometers in schools for checking issues,
2015-03-31,Bo,,,Babahun,1.0,the were happy with the burial team,,we now know that ebola is real  so we are abiding to the laws,when will school re-open,
2015-04-01,Bo,,,Daru Junc,1.0,the movement of people from one place to another has now stop,,the removing of the check points along the roads,when will school re-open,
2015-04-02,Bo,,,Kosila,1.0,we are satisfied because they have all the squipment ,,,when will school re-open,
2015-04-03,Bo,,,Jao,1.0,the way the burial team speak to us were good,,there are movement from one points to the other,when will school re-open,
2015-04-07,Bo,,,Monkama,1.0,they allow us to pray on the dead body,,no harbouring of sick person,,
2015-04-08,Bo,,,Gbohun,0.0,we give them one person to go with in the room,,nobody should buried unless the burial team,,
2015-04-09,Bo,,,Habegbana,0.0,,,,,
2015-04-10,Bo,,,Foya,0.0,,,transfer of sick person at the health center,,
2015-04-08,Bo,,,Mano ,0.0,,Because there is no death in the community,they transfer sick cases in the health centers which is a great change. They also keep the ebola laws,,
2015-04-09,Bo,,,Follu,0.0,,Because there was no death case in the community,they are still keep all the laws,,
2015-04-10,Bo,,,Negbeyama,1.0,the ebola team carried the corpse in the community and the burial was well done,,they refer sick cases to health centers and they also allowed the ebola team to burry their dead,,
2015-04-11,Bo,,,Meyama,0.0,,Because they do not have any death case,they refer sick cases to health centers and they also allowed the ebola team to burry their dead.they are  maintaining the laws,,
2015-04-07,Bo,,,Lumahun,1.0,it is the best way for them not to have ebola in there community,,"sick people are been taken to health workers, no hand washing and no visiting to quranting homes",,
2015-04-08,Bo,,,Mano,1.0,it is a law stated by the government of sierra leone,,people are reported to the DHMT,,
2015-04-09,Bo,,,Tela,0.0,,burial team did not come on time when call up on,hand washing,,
2015-04-10,Bo,,,Kamahun,1.0,it is one of the way for the community to be ebola free,,hand washing and no movement,,
2015-04-16,Bo,,,Foindu,0.0,,the burial team did not observe our tradition,meeting is held every Friday on ebola issuses,,
2015-04-17,Bo,,,Lorgbana,0.0,,using of plastic bag by the burial team is unfear,all most each house in this community has a bucket of chlorine and soap to wash hand,,
2015-04-18,Bo,,,Nongoba,0.0,,the plastic the burrial team observe did not prevent us from any infection,the youth in this community organised house to house sensitization every Saturday,,
2015-04-19,Bo,,,Kpawuma,0.0,,,the road leads to the community is under rehabilitation by the very people of this community.,,
2015-04-07,Bo,,,Pelewahun,1.0,they are satisfied with the burial team,,the community people are now going to the health center,,
2015-04-08,Bo,,,Pujehun,1.0,they are satisfied with the burial team,,all the houses are using soap and water for hand washing,,
2015-04-09,Bo,,,Bumpowo,1.0,they are satisfied with the burial team,,all the community people are usingsoap and water for hand washing,,
2015-04-10,Bo,,,Pendembu,1.0,they are satisfied with the burial team,,the community people are now going to the health center,,
2015-03-01,Bo,,,Kpetama,0.0,,no burial was conducted,,,
2015-03-01,Bo,,,Gbagawa,0.0,,no burial was conducted,,,
2015-03-01,Bo,,,Nyorbohun,0.0,,no burial was conducted,,,
2015-03-01,Bo,,,Bagama ,0.0,,no burial was conducted,,,
2015-04-08,Bo,,,Sembehun,0.0,,no burial was conducted,,,
2015-04-09,Bo,,,Old Town,0.0,,no burial was conducted,,,
2015-04-10,Bo,,,New Town,0.0,,no burial was conducted,,,
2015-04-11,Bo,,,Mbaioma,0.0,,no burial was conducted,,,
2015-03-01,Bo,,,Talu,0.0,,no burial was conducted,,,
2015-03-01,Bo,,,Mbahun,0.0,,no burial was conducted,,,
2015-03-01,Bo,,,Gbema,0.0,,no burial was conducted,,,
2015-03-01,Bo,,,Tongiya,0.0,,no burial was conducted,,,
2015-04-08,Bo,,,Yeakia,0.0,,no death case since our last visit,By laws is still in action in this community,,
2015-04-09,Bo,,,Koiyiama,0.0,,no death case since our last visit,"the bye -laws are still regid in the community,community champion is still doing his work to make sure that his community is safe",,
2015-04-10,Bo,,,Yendenma,0.0,,no death case since our last visit,"they are not only trying to irradicate this deadly virus which is ebola in their community, but they are also trying to put stop to teenage pregnancy as well.",,
2015-04-11,Bo,,,Juhun,0.0,,no death case since our last visit,,,
2015-04-08,Bo,,,Foindu,0.0,,the burial team did not observe our tradition,meeting is held every Friday on ebola issuses,,
2015-04-09,Bo,,,Lorgbana,0.0,,the using of plastic bags by the burial is very unfear,almost each house in this community has a bucket of chlorine and soap to wash hands,,
2015-04-10,Bo,,,Nongoba,0.0,,the practic the burial team observe is very horrific,the youth in this community organised house to house sensitization every Saturday,,
2015-04-11,Bo,,,Kpawuma,1.0,,by using disfectant on the deseased can prevent us from infection,the road leads to the community is under rehabilitation by the very people of this community.,,
2015-04-08,Bo,,,Bawomahun,1.0,Although no death occure in this community but the people were satisfied with the burial process.,,"the biggest change among the people is that as a community they have promote unity , co-operation and hope in the the fight against ebola in their town",,
2015-04-09,Bo,,,Kpoyama,1.0,they most thing that make them to be gland about the burial team is the involvement of family members in the burial process,,"due to our intervention in this community ,the biggest change is the correct confusion and myths about ebola",,
2015-04-10,Bo,,,Faama,1.0,they are glad due to the respect given to the body,,"in faama community, the people have decided to take action to protect  individuals and family members in the home by practicing safe, dignified medical burial",,
2015-04-11,Bo,,,Sulehun,1.0,the caring of the ambulance drivers when entring a community is also another reason of happiness,,the most biggest change in the community is base on the negative attitude talk toward health workers ,,
2015-04-07,Bo,,,Saaso,1.0,from what we have seen from other communities the burial team do respect the dead,,community members are keeping to some of the laws,,
2015-04-08,Bo,,,Ngiehon,1.0,community members are allow to pray on the body,,awearness have burial in community members,,
2015-04-09,Bo,,,Sembehun,1.0,the body is well protected,,no suspected ebola case,,
2015-04-10,Bo,,,Kojehun,1.0,body is dreessed by the burial team,,no change,,
2015-04-07,Bo,,,Niagorehun,0.0,,indicator figure no death in the community so yes or no is not applicable on burial conducted,"the total adhearance to ebola bye-laws , the prompt desire of the people to seek medical attention ,the willingness of the people to test their temperature or to stop the movement of people to big towns",,
2015-04-08,Bo,,,Gbabama,0.0,,indicator figure no death in the community so yes or no is not applicable on burial conducted,"the prompt willingness to seek medical attention ,the desire to work with ebola bye-laws ,the desire and willingness of the people to move to big towns",,
2015-04-09,Bo,,,Njawoh,0.0,,indicator figure no death in the community so yes or no is not applicable on burial conducted,"the prompt willingness to seek medical attention ,the desire to work with ebola bye-laws ,the desire and willingness of the people to move to big towns",,
2015-04-10,Bo,,,Kundorma,0.0,,indicator figure no death in the community so yes or no is not applicable on burial conducted,"the active promt desire to seek medical attention ,the great adhearance to ebola bye-laws by the community",,
2015-04-08,Bo,,,Kugbahun,0.0,,we are not satisfied with burial team because they don't wash dead body,now we have freedom of movement from one place to another,,
2015-04-09,Bo,,,Faala,0.0,,we don't like the way burial team are buried people because the don't respect dead body,we have no sick person in our community since your last visit,,
2015-04-10,Bo,,,Kpaku,0.0,,the burial team we are not satisfied with it because it is not our culture,our biggest change for now we have freedom of movement,,
2015-04-11,Bo,,,Ngeiyewoma,0.0,,we are not satisfied with burial team in our country,they only change for now we have freedom of movement,,
2015-04-08,Bo,,,Gumahun,0.0,,no burial case,they are still maintaining frequent hand washing,,
2015-04-09,Bo,,,Kokotie,0.0,,no burial case,people are still working on their bye laws,,
2015-04-10,Bo,,,Banyama,0.0,,no burial case,people are not working on their bye laws,,
2015-04-09,Bo,,,Dandabu,1.0,in the out break of ebola burial team is safty,,the community people report to the health center if there is sick person,,
2015-04-10,Bo,,,Massao,1.0,it is accepted because it is hygenic and it is the right way to burried,,they report to the health center if there is dead body,,
2015-04-11,Bo,,,Bengoie,1.0,it is accepted because of safety burial in our community,,they can know abide by the bye-law,,
2015-04-11,Bo,,,Bakar,1.0,they usually buried in the plastic and they can not wash dead body,,they report to the health center if there is dead body,,
2015-04-14,Bo,,,Tobanda,0.0,,,A clean environment,,
2015-04-15,Bo,,,Tobanda,0.0,,,no more misconception about ebola,,
2015-04-16,Bo,,,Tobanda,0.0,,,willingness of the community people to help eradicate ebola,,
2015-04-17,Bo,,,Tobanda,0.0,,,no more denial about ebola ,,
2015-04-09,Bo,,,Sobeh-Grima,1.0,because of the government laws,,no ebola case ,,
2015-04-10,Bo,,,Soso,0.0,,"because no respect for the death , no ceremonies",environmental sanitation,,
2015-04-11,Bo,,,Ngobahun,1.0,because of the ebola spread,,no ebola case ,,
2015-02-12,Bo,,,Mokengi,1.0,to stop ebola,,cleanliness of environment,,
2015-04-09,Bo,,,Fullakpete,0.0,,,"no community burial, no funeral services and all burial should be done by the burial team",,
2015-04-10,Bo,,,Fabu,0.0,,,"no community burial,all burial should be done by the burial team. Strangers not allowed in their community",,
2015-04-11,Bo,,,Njoema,0.0,,,no funeral services no community burial all burial should be done by the burial team,,
2015-02-12,Bo,,,Matakan,0.0,,,"no community burial ,all burial should done by the burial team.",,
2015-04-09,Bo,,,Levuma,0.0,,,community cleaning,,
2015-04-10,Bo,,,Sembehun,0.0,,,increase in participants and participation during visit,,
2015-04-11,Bo,,,Panguma,0.0,,,taking strangers to the chief,,
2015-02-12,Bo,,,Kenalah,0.0,,,the biggest change is that the community people are now taking sick people to the clinic for treatment,,
2015-03-25,Bo,,,Bopon,0.0,,,High cooperation from the community people,,
2015-03-27,Bo,,,Njagbema,0.0,,,free movement of people,,
2015-03-28,Bo,,,Morpalma,0.0,,,acceptance of burial team,,
2015-03-29,Bo,,,Funkia,0.0,,,the people are committed to uphold the set bye laws,,
2015-04-09,Bo,,,Komende,1.0,because they allow ten family member to the grave site.,,"it was difficult to get the burial team when ever burial take place in our community, but now is easy get them when burial occure",,
2015-04-10,Bo,,,Nyandehun,0.0,,,the community people was not working with the action point but through restless development the action point is now working well in the community,,
2015-04-11,Bo,,,Gawuima,0.0,,,"we have been told by Restless development workers that there will be out break of malaria, now our environment is clean",,
2015-02-12,Bo,,,Gbomokor,1.0,Because they allow the family to the grave yard,,through Restless development we have know how we should work with our action point through the moniting follow up,,
2015-03-25,Bo,,,Foba ,0.0,,,"the biggest changes since our last visit was that, regular hand washing with chlorine was going on there.",,
2015-03-27,Bo,,,Baoma,0.0,,,"the biggest change since our last visit was that , community people said that no public gathering",,
2015-03-19,Bo,,,Ketuma,,,They way the burial team rape the disease in the plastic bag is not okay with us,Teenage pregnancy is really in the increase in this community,,
2015-03-20,Bo,,,Majeibu,,,They burial team don't observed our tradition before burial,Economic hardship is very much in this community,,
2015-03-21,Bombali,,,Kunsho,1.0,we are satisfied because the way the burial team treat the community is very good,,the community people are all going strictly by all the bye laws made by them,,
2015-03-22,Bombali,,,Manakrie,1.0,that will help to prevent the spreading of virus,,all the bye laws by us are well implemented by the community people,,
2015-03-23,Bombali,,,Makodeh,1.0,because is the most important way to stop the spreading of the disease in our beloved country,,sensitization and prevention changes and awareness of ebola issue in the communuity,,
2015-03-24,Bombali,,,Makorie,1.0,because the medical team say is the only way to stop the virus,,the community people are following all the bye laws made by them and they and putting it into practise,,
2015-03-11,Bombali,,,Bowbau,1.0,because people witness the burial,,awareness,,
2015-03-12,Bombali,,,Bakalol,1.0,they allow community people to pray for the dead body,,they are no longer eating bush meat,,
2015-03-13,Bombali,,,Baka Junction,1.0,the burial team is practising the normal way community people use to do the burial,,they are now washing their hands frequently,,
2015-03-14,Bombali,,,Makuup,1.0,they are allowing few people to witness the burial in and out of the community,,the community is well clean ,,
2015-03-17,Bombali,,,Kathantha,1.0,the family witness the burial,,they no longer wash the death but they called the burial team for burial,,
2015-03-18,Bombali,,,Kathrie,1.0,the family pray for their love ones,,they no longer visit burial homes,,
2015-03-19,Bombali,,,Kabakel,1.0,the family will be able to make the grave,,they no longer accomodiate strangers,,
2015-03-20,Bombali,,,Masingbi,1.0,the family will provide dress for their loved one,,they no longer touch sick person,,
2015-03-12,Bombali,,,Kathekayan,1.0,they don't want the sick to spread among themselves,,"they respect the bye laws,they clean their environment",,
2015-03-13,Bombali,,,Kabaka,1.0,because they neer better health care in Sierra Leone,,"no ebola case,they clean their environment and no stranger is allowed",,
2015-03-16,Bombali,,,Kahuthala,1.0,they don't want their people to die of ebola,,"they clean their environment,they mount check points",,
2015-03-17,Bombali,,,Masuba,1.0,they don't want their people to die of ebola,,"they respect the bye laws,they mount check points and stranger is allow in the community",,
